Date,10-Year Breakeven Inflation Rate,10-Year Treasury Constant Maturity Rate,Crude Oil Prices: Brent – Europe_kurt,GOLD_std,US Dollar/USDX_std_5,VIX_std_20,News Financial,News RealEstate,News Business
2007-04-30,1.180606112,2.1767982793,0.6568657249,-0.9199005453,-1.1123336939,-0.8229772418,0.4553376906,0.2340425532,0.5544303797
2007-05-31,1.0082243706,2.460464033,-0.9532840069,-0.861657312,-1.430440202,-0.9804721304,0.4553376906,0.4042553191,0.9594936709
2007-06-30,1.0821022598,2.5655254233,1.0444444353,-1.0252691184,0.2128892975,-0.3957516735,0.4553376906,0.2765957447,0.7063291139
2007-07-31,0.9589724445,2.3343903647,0.3657985731,-0.9032107242,-0.7990446825,0.3695120419,0.4553376906,0.1063829787,0.6759493671
2007-08-31,0.6142089617,2.082243028,-0.1753880952,-1.2085663524,-1.5347661828,0.5116949966,0.4553376906,0.1063829787,1
2007-09-30,0.8604685922,2.1032553061,0.3616106901,-0.2089606472,-0.1699764542,0.7133629413,0.4553376906,0.1489361702,0.1974683544
2007-10-31,0.9589724445,2.0192061939,-0.2284950509,-0.3250978173,-0.2999270254,-0.2074486589,0.4553376906,0.5319148936,0.4379746835
2007-11-30,0.9589724445,1.4833931034,-0.2398214169,-0.3834328881,0.7401763482,0.0687342583,0.4553376906,-0.1489361702,0.6227848101
2007-12-31,0.9097205184,1.4203562693,0.4588919436,-0.4288578141,0.443767679,-0.2190048969,0.4553376906,-0.1914893617,0.2151898734
2008-01-31,0.9589724445,1.1682089326,-0.1839637912,-0.0702354742,0.033853314,0.1803365391,0.4553376906,0.1489361702,0.2303797468
2008-02-29,1.180606112,1.0211229862,-0.7396479181,0.0713231698,1.9412694055,-0.1081563071,0.4553376906,0.4042553191,0.2075949367
2008-03-31,0.9589724445,0.937073874,-0.082874836,0.2291668239,-0.3172628867,-0.0761365069,0.4553376906,-0.0212765957,0.0151898734
2008-04-30,0.7865907031,1.2732703229,-0.3469156788,-0.1665147023,-0.9142891662,-0.4336726827,0.4553376906,0.1489361702,0.0430379747
2008-05-31,1.2791099642,1.4938992425,-0.425543964,-0.1123868956,-0.3526726824,-0.6064866001,0.4553376906,0.0638297872,-0.0734177215
2008-06-30,1.3776138165,1.5044053815,1.8535315418,-0.3933078433,0.0617586718,-0.3903606801,0.4553376906,0.0212765957,0.382278481
2008-07-31,0.9589724445,1.5044053815,-0.657863494,0.1321261408,-0.2803696131,0.0209992559,0.4553376906,-0.3191489362,0.1949367089
2008-08-31,0.2448195158,1.2417519058,0.2152707345,0.3198763231,0.1830466678,-0.7624266602,0.4553376906,-0.1489361702,0.1518987342
2008-09-30,-0.8633488218,1.3573194351,-0.1007336939,2.2743976975,3.5122080911,2.4559711715,0.4553376906,-0.1063829787,0.2784810127
2008-10-31,-2.6610441251,1.5254176596,-0.5895291934,2.8561220211,3.5196855478,3.5459230803,0.4553376906,-0.2765957447,-0.4126582278
2008-11-30,-3.9662201672,0.170125725,-0.2802091113,0.8392640958,4.0305881513,3.2716508813,0.4553376906,-0.0638297872,-1
